목적,읍면동,설치장소,위도,경도,설치연도,설치대수
산단관리,상평동,상평동 314-9,35.17254,128.124809,2019,3
산단관리,상평동,상평동 55-40,35.170249,128.120494,2019,2
산단관리,상평동,상평동 205-24,35.170085,128.115494,2019,3
산단관리,상평동,상평동 245-6,35.169446,128.111559,2019,4
산단관리,상평동,상평동 232-1,35.170174,128.106616,2019,4
산단관리,상평동,상평동 55-54,35.176359,128.128144,2020,3
산단관리,상평동,상평동 278-6,35.172641,128.099948,2020,3
방범,상평동,상평동 371-1,35.174039,128.12802,2020,3
방범,상평동,상평동 553-10,35.167855,128.115766,2020,3
방범,상평동,상평동 478-9,35.168749,128.120585,2020,3
교통관리,평거동,평거동 602-9,35.168568,128.064792,2013,5
방범,상평동,상평동 1067-183,35.17838,128.13017,2021,2
방범,상평동,상평동 166-6,35.17007,128.11743,2021,2
스마트폴,상평동,상평동 221-8,35.17556,128.10805,2022,2
방범,상평동,상평동 274-1 ,35.176029,128.101911,2023,3
방범,상평동,상평동 257-2 ,35.168787,128.114676,2023,2
방범,성북동,진주시 인사동 131-93,35.192706,128.075387,2018,2
방범,성북동,성북동 120-16 ,35.19222,128.075368,2023,4
방범,성북동,성북동 467-9 ,35.192929,128.074584,2022,2
방범,성북동,본성동 6-1,35.191339,128.08271,2018,2
교통관리,충무공동,충무공동 42,35.176265,128.135291,2014,2
방범,성북동,상봉동 1004-26,35.1968,128.077686,2022,4
방범,성북동,인사동 189-17,35.19211,128.069802,2016,3
방범,성북동,인사동 146-26,35.19213,128.073179,2016,2
교통관리,충무공동,충무공동 161,35.164018,128.126796,2018,3
교통관리,충무공동,충무공동 41,35.17633,128.131963,2019,5
교통관리,충무공동,충무공동 286,35.176182,128.144912,2018,4
교통관리,정촌면,정촌면 예하리 1280-5,35.12949,128.099474,2014,4
방범,성북동,계동 121-1,35.196061,128.08105,2016,2
방범,성북동,인사동 186-30,35.191169,128.070221,2016,3
어린이보호구역,천전동,망경동 490,35.17895,128.084692,2021,2
어린이보호구역,천전동,망경동 490,35.180036,128.084148,2021,2
방범,성북동,봉곡동 479-13 ,35.192565,128.0719,2017,2
방범,성북동,평안동 219 ,35.19598,128.082147,2017,2
방범,성북동,인사동 150-1,35.191331,128.073556,2017,3
어린이보호구역,천전동,칠암동 237-2,35.186638,128.089485,2021,2
방범,성북동,본성동 2-14,35.191963,128.082398,2017,2
방범,성북동,계동 22 ,35.197462,128.080537,2018,2
방범,성북동,인사동 161-7 ,35.188986,128.073648,2018,3
방범,성북동,상봉동 1003-1 ,35.19797,128.079722,2019,2
어린이보호구역,천전동,주약동 360-12,35.173246,128.092671,2021,2
어린이보호구역,성북동,봉곡동 465-1,35.193534,128.074513,2022,4
어린이보호구역,성북동,봉곡동 465-3,35.194004,128.075751,2022,2
어린이보호구역,천전동,천전동 342-4 ,35.172908,128.091094,2021,2
어린이보호구역,성북동,봉곡동 465-4,35.194451,128.07414,2022,3
어린이보호구역,성북동,봉곡동 465-1,35.193374,128.074163,2022,3
어린이보호구역,성북동,봉곡동 465-2,35.193762,128.074914,2022,1
어린이보호구역,성북동,봉곡동 465-2,35.194679,128.074724,2022,1
어린이보호구역,성북동,봉곡동 465-3,35.194493,128.073699,2022,1
어린이보호구역,성북동,인사동 1-25,35.192158,128.079137,2020,4
어린이보호구역,성북동,인사동 1-27,35.192045,128.078786,2020,1
어린이보호구역,성북동,인사동 1-29,35.19309,128.077626,2020,3
도로방범,성북동,계동 35-1,35.196753,128.080315,2016,3
어린이보호구역,성북동,인사동 1-26,35.193054,128.079048,2020,1
도로방범,성북동,인사동 143-24 ,35.190126,128.074458,2017,4
어린이보호구역,성북동,인사동 1-28,35.192481,128.077936,2020,1
도로방범,성북동,봉곡동 476-4 ,35.194281,128.071516,2018,4
도로방범,성북동,남성동 1-8 ,35.191456,128.07903,2019,2
방범,성북동,봉곡동 474-35,35.195472,128.072204,2019,3
방범,성북동,봉곡동 478-16,35.193729,128.072737,2019,4
어린이보호구역,중앙동,봉래동 27-5,35.199181,128.088078,2021,2
방범,성북동,인사동 137-18,35.191016,128.075856,2019,3
방범,성북동,중안동 202 ,35.193848,128.079399,2019,2
방범,성북동,인사동 143-132,35.191147,128.07409,2019,4
방범,성북동,인사동 191-11,35.191443,128.070994,2019,3
어린이보호구역,상봉동,상봉동 801-1,35.199884,128.071528,2021,1
방범,성북동,봉곡동 19-11,35.193973,128.077963,2019,2
방범,성북동,봉곡동 18-1,35.19512,128.078279,2019,2
방범,성북동,인사동 5-5,35.193095,128.077017,2019,3
방범,성북동,인사동 189-9,35.192984,128.07,2020,2
방범,성북동,본성동 12-16,35.191445,128.080669,2020,2
방범,성북동,중안동 109,35.19464,128.08055,2021,4
어린이보호구역,상대동,상대동 645-9,35.183581,128.108281,2020,1
방범,성북동,봉곡동 24-4,35.19648,128.07628,2021,2
어린이보호구역,상대동,상대동 33-106,35.181339,128.119993,2022,1
스마트폴,성북동,중안동 12-13,35.192683,128.082809,2022,1
스마트폴,성북동,중안동 10,35.192687,128.081192,2022,2
스마트폴,성북동,중안동 15-16,35.192467,128.080437,2022,1
스마트폴,성북동,남성동1-12,35.19102,128.079206,2022,1
스마트폴,성북동,인사동1-24,35.193195,128.078995,2022,2
스마트폴,성북동,진주시 본성동 3-13,35.191225,128.081855,2022,2
방범,성북동,봉곡동 470-6,35.19414,128.073227,2022,3
방범,성북동,봉곡동 483-7,35.193176,128.071114,2022,2
방범,성북동,인사동 196-8,35.190638,128.072609,2022,3
방범,성북동,중안동 162 ,35.194719,128.079287,2023,2
방범,성북동,인사동 192-14,35.190489,128.071191,2023,4
방범,성북동,봉곡동 473-7 ,35.195182,128.072634,2023,2
어린이보호구역,수곡면,수곡면 대천리 98-1,35.200683,127.931594,2022,4
어린이보호구역,수곡면,수곡면 대천리 98-1,35.2011831,127.9316202,2022,1
어린이보호구역,하대동,초전동 405-1,35.19409,128.125643,2021,1
방범,수곡면,수곡면 사곡리 582,35.215785,127.922562,2019,2
어린이보호구역,하대동,하대동 119-1,35.186767,128.123857,2020,2
어린이보호구역,하대동,하대동 119-1,35.186531,128.123639,2020,1
어린이보호구역,하대동,하대동 119-1,35.187914,128.124999,2020,1
방범,수곡면,수곡면 창촌리 270-2,35.18186,127.92065,2021,3
도로방범,수곡면,수곡면 사곡리 231-3,35.20808,127.93344,2021,2
어린이보호구역,하대동,하대동 119-1,35.187914,128.124999,2020,2
도로방범,수곡면,수곡면 사곡리 231-3,35.20808,127.93344,2021,1
방범,수곡면,수곡면 대천리 431-11 ,35.197803,127.928957,2023,2
어린이보호구역,상평동,상평동 278-1,35.173888,128.100607,2021,1
방범,수곡면,수곡면 원내리 614-9 ,35.17155,127.951073,2023,3
방범,신안동,신안동 396-41,35.182659,128.063515,2022,5
방범,신안동,신안동 782-20,35.179762,128.062235,2023,3
방범,신안동,신안동 25-18,35.183653,128.072699,2022,4
어린이보호구역,초장동,초전동 1634-1,35.208239,128.113989,2022,2
방범,신안동,신안동 425-2,35.182731,128.066027,2018,2
방범,신안동,신안동 388-8 ,35.183466,128.066608,2021,4
방범,신안동,신안동 3-6,35.190513,128.069615,2022,5
방범,신안동,이현동 92-48,35.183401,128.064877,2023,3
어린이보호구역,초장동,초전동 686-1,35.198471,128.114241,2021,1
어린이보호구역,초장동,초전동 686-1,35.198617,128.115777,2021,2
방범,신안동,신안동 19-25,35.185814,128.071314,2016,2
방범,신안동,신안동 875-2,35.180269,128.055826,2016,1
방범,신안동,신안동 457-8,35.180269,128.055826,2017,2
방범,신안동,신안동 581-8,35.178721,128.064851,2017,3
어린이보호구역,평거동,평거동 748-4,35.174017,128.066357,2020,2
어린이보호구역,평거동,평거동 748-4,35.174209,128.065563,2020,1
방범,신안동,신안동 4-3,35.190066,128.07028,2017,2
방범,신안동,신안동 443-11,35.183612,128.069725,2018,2
방범,신안동,신안동 7-2,35.189027,128.06952,2018,3
어린이보호구역,평거동,평거동 748-4,35.174005,128.064792,2020,1
어린이보호구역,신안동, 신안동 710-2,35.177118,128.067265,2022,3
어린이보호구역,신안동,신안동 707-5,35.177535,128.067197,2020,1
방범,신안동,신안동 460-13,35.179674,128.069857,2018,3
방범,신안동,신안동 705-1,35.177771,128.065264,2018,2
방범,신안동,신안동 724-5,35.176067,128.068951,2018,3
어린이보호구역,신안동,신안동 475,35.183045,128.068438,2021,1
방범,신안동,신안동 33-16,35.180982,128.072604,2019,2
방범,신안동,신안동 15-63,35.186676,128.072773,2019,2
공원,신안동,신안동 705-2,35.177444,128.065587,2022,4
공원,신안동,신안동 451,35.181803,128.068097,2017,3
공원,신안동,신안동 708-2,35.181803,128.068097,2019,2
어린이보호구역,신안동,신안동 454-4,35.181712,128.068058,2021,3
공원,신안동,신안동 707-3 ,35.181803,128.068097,2019,2
교통관리,신안동,신안동 288-1,35.185128,128.075581,2012,4
어린이보호구역,신안동,신안동 380,35.1853,128.068915,2021,2
어린이보호구역,신안동,신안동 380,35.18667,128.068305,2021,3
어린이보호구역,신안동,신안동 710-1,35.176075,128.066446,2020,1
어린이보호구역,신안동,신안동 380,35.184307,128.066864,2021,1
어린이보호구역,신안동,신안동 446-6,35.18315,128.069094,2021,4
어린이보호구역,이현동,이현동 365-2,35.18978,128.056139,2022,2
어린이보호구역,신안동, 신안동 447-1,35.183493,128.068423,2021,1
어린이보호구역,신안동,신안동 475,35.181748,128.069624,2021,1
어린이보호구역,신안동,신안동 475,35.182357,128.069223,2021,1
어린이보호구역,신안동,신안동 475,35.181828,128.068562,2021,2
어린이보호구역,신안동,신안동 475,35.183031,128.068186,2021,2
어린이보호구역,신안동,신안동 710-1,35.175748,128.067683,2020,4
어린이보호구역,판문동,평거동 1065-148,35.1659326,128.0398232,2022,1
어린이보호구역,신안동,신안동 710-1,35.176617,128.068263,2020,3
어린이보호구역,신안동,신안동 710-1,35.176002,128.06687,2020,1
어린이보호구역,판문동,판문동 290,35.167531,128.045402,2022,2
어린이보호구역,신안동,신안동 710-1,35.177681,128.067655,2020,1
어린이보호구역,판문동,판문동 290,35.16836,128.044501,2021,2
주정차단속,신안동,신안동 11-74,35.187739,128.070558,2021,1
도로방범,신안동,신안동 12-24,35.186767,128.069723,2015,1
도로방범,신안동,신안동 26-39 ,35.182922,128.074054,2017,2
도로방범,신안동,신안동 454-3 ,35.180402,128.067505,2019,3
방범,신안동,신안동 469-10,35.178787,128.070591,2019,2
방범,신안동,신안동 766-3,35.178235,128.063142,2019,2
방범,신안동,신안동 463-2,35.179773,128.0685,2019,2
어린이보호구역,판문동,평거동 800,35.168641,128.057996,2014,1
방범,신안동,신안동 892-6,35.178745,128.062753,2019,2
방범,신안동,신안동 819-1,35.178933,128.060714,2019,2
어린이보호구역,판문동,평거동 800,35.169667,128.056489,2014,1
방범,신안동,신안동 465-14,35.178993,128.069704,2019,3
도로방범,가호동,호탄동 산 141-2 ,35.158633,128.119042,2019,1
방범,신안동,신안동 780-21,35.17919,128.062173,2020,2
스마트정류장,신안동,신안동 341,35.180592,128.065856,2022,2
스마트정류장,신안동,신안동 46,35.186333,128.069691,2022,2
스마트폴,신안동,신안동 708-3,35.17744,128.07068,2022,2
도로방범,신안동,남강로 545-7 ,35.186679,128.07403,2022,4
방범,신안동,신안동 30-5,35.182491,128.071759,2022,5
방범,신안동,신안동 724-16,35.175837,128.068602,2022,5
방범,신안동,신안동 461-12,35.179854,128.069145,2022,4
방범,신안동,신안동 892-1,35.179549,128.063154,2022,4
방범,신안동,신안동 16-15 ,35.186782,128.073187,2023,2
어린이보호구역,이반성면,이반성면 하곡리 977,35.172719,128.328001,2022,4
어린이보호구역,이반성면,이반성면 하곡리 977,35.171876,128.327509,2022,3
방범,이반성면,이반성면 발산리 559-3,35.14264,128.342776,2019,2
도로방범,이반성면,이반성면 가산리 566-8,35.153208,128.314279,2019,3
도로방범,이반성면,이반성면 용암리 280-8,35.168146,128.326323,2022,3
도로방범,이반성면,이반성면 용암리 280-8,35.168146,128.326323,2022,2
방범,이반성면,이반성면 장안리 958-1 ,35.193411,128.347094,2023,2
방범,이반성면,이반성면 길성리 573-2,35.139644,128.328749,2023,2
방범,이현동,이현동 296-5,35.187544,128.059534,2022,4
방범,이현동,이현동 22-1,35.191026,128.064106,2021,4
방범,이현동,유곡동 431,35.195179,128.059278,2018,1
방범,이현동,유곡동 435-2,35.195093,128.060156,2018,1
방범,이현동,이현동 87-3,35.180283,128.055842,2016,1
방범,이현동,이현동 102-42,35.185478,128.064961,2017,2
어린이보호구역,내동면,내동면 독산리 568-4,35.165445,128.067251,2022,2
방범,이현동,이현동 115-37,35.184245,128.063236,2017,2
어린이보호구역,정촌면,정촌면 관봉리 1150,35.136469,128.14287,2022,1
방범,이현동,이현동 14-14 ,35.192706,128.062352,2017,2
방범,이현동,이현동 7-6  ,35.192087,128.057375,2018,2
방범,이현동,유곡동 22-1,35.195234,128.06748,2018,3
방범,이현동,이현동 31-1 ,35.192001,128.067484,2018,2
방범,이현동,이현동 98-5 ,35.187282,128.06421,2018,2
방범,이현동,이현동 101-23,35.185851,128.062556,2019,3
공원,이현동,이현동 1196 ,35.202056,128.073921,2017,3
어린이보호구역,이현동,이현동 365-2,35.188976,128.056566,2022,4
어린이보호구역,이현동,이현동 365-2,35.1876153,128.0566084,2022,3
어린이보호구역,이현동,이현동 25-1,35.190334,128.062904,2021,2
어린이보호구역,진성면,진성면 상촌리 541-2,35.16931,128.22478,2022,1
어린이보호구역,이현동,이현동 25-1,35.191839,128.062628,2021,2
어린이보호구역,이현동,이현동 945-1,35.20229,128.047334,2018,2
어린이보호구역,이현동,이현동 14-7,35.193194,128.061917,2018,2
방범,이현동,이현동 15-18,35.192863,128.063948,2019,2
어린이보호구역,이반성면,이반성면 하곡리 977,35.1738872,128.3283055,2022,1
방범,이현동,이현동 526-4,35.194148,128.053882,2019,2
방범,이현동,이현동 115-5,35.185661,128.064159,2019,3
어린이보호구역,사봉면,사봉면 사곡리 496,35.1884746,128.2716572,2022,1
방범,이현동,이현동 29-14,35.190894,128.067347,2020,4
어린이보호구역,사봉면,사봉면 사곡리 990,35.1886784,128.2698736,2022,1
방범,이현동,이현동 102-15,35.18491,128.06489,2021,3
어린이보호구역,지수면,지수면 압사리 1065-1,35.2335265,128.251251,2022,1
어린이보호구역,지수면,지수면 압사리 1065-1,35.230433,128.2510149,2022,1
방범,이현동,유곡동31-2,35.19406,128.06714,2022,1
방범,이현동,유곡동 10-10,35.19641,128.06728,2022,1
어린이보호구역,대곡면,대곡면 와룡리 591,35.257398,128.175495,2022,2
어린이보호구역,금산면,금산면 장사리 585-8,35.219098,128.161144,2022,3
방범,이현동,이현동 813-3,35.205596,128.04929,2021,1
어린이보호구역,금산면,금산면 장사리 585-8,35.218209,128.159509,2022,1
방범,이현동,이현동 235-1,35.187466,128.059563,2022,3
어린이보호구역,금산면,금산면 장사리 524-10,35.215896,128.156073,2022,2
어린이보호구역,금산면,금산면 장사리 524-10,35.216237,128.156797,2022,1
어린이보호구역,금산면,금산면 송백리 556-1,35.20452,128.135004,2022,1
방범,이현동,이현동 11-72 ,35.19789,128.055796,2023,5
어린이보호구역,금산면,금산면 송백리 556-1,35.205257,128.1348,2022,1
어린이보호구역,금산면,금산면 중천리 248-3,35.214507,128.144053,2022,1
방범,이현동,이현동 285-1 ,35.192584,128.062029,2023,2
어린이보호구역,금산면,금산면 중천리 975 ,35.215523,128.144892,2022,2
어린이보호구역,금산면,금산면 중천리 251,35.215931,128.144118,2022,2
방범,일반성면,일반성면 창촌리 751-2,35.173524,128.275164,2016,2
방범,일반성면,일반성면 운천리 883-2,35.173803,128.261315,2018,4
어린이보호구역,금산면,금산면 장사리 961,35.218931,128.142231,2022,2
방범,일반성면,일반성면 창촌리 655-2,35.169868,128.278573,2019,2
어린이보호구역,일반성면,일반성면 개암리 795-1,35.169732,128.286647,2022,4
어린이보호구역,일반성면,일반성면 개암리 805-3,35.168907,128.285996,2022,2
어린이보호구역,일반성면,일반성면 개암리 805-3,35.170122,128.286068,2022,2
어린이보호구역,집현면,집현면 지내리 125,35.241319,128.093399,2022,1
어린이보호구역,집현면,집현면 지내리 125,35.239675,128.092486,2022,2
방범,일반성면,일반성면 창촌리 728-8,35.172726,128.275444,2019,2
방범,일반성면,일반성면 창촌리 46-5,35.171063,128.283277,2019,3
어린이보호구역,미천면,미천면 안간리 797-5,35.317728,128.088044,2022,1
도로방범,일반성면,일반성면 창촌리 729-2,35.171104,128.276715,2022,5
어린이보호구역,명석면,명석면 관지리 668-2,35.2545822,128.0402792,2022,1
어린이보호구역,명석면,명석면 관지리 668-2,35.252552,128.041154,2022,1
방범,일반성면,일반성면 창촌리 593-1 ,35.171773,128.279429,2023,2
어린이보호구역,명석면,명석면 우수리 109,35.218276,128.040735,2022,1
방범,일반성면,일반성면 개암리 223-1 ,35.167355,128.293244,2023,4
어린이보호구역,수곡면,수곡면 대천리 98-1,35.19963,127.931337,2022,1
방범,천전동,강남동 168-2,35.183529,128.086591,2022,2
방범,중앙동,수정동 23-6,35.197092,128.087346,2012,1
방범,상봉동,상봉동 1092-32,35.197469,128.07122,2018,1
방범,하대동,하대동 114-12,35.188388,128.124747,2017,1
공원,상평동,상평동 251-7,35.169543,128.114201,2021,3
방범,초장동,초전동 1426-5,35.207853,128.109716,2012,1
방범,이현동,이현동 21-6,35.191487,128.065766,2022,3
방범,정촌면,정촌면 화개리 1661-1,35.135952,128.096661,2018,2
공원,정촌면,정촌면 예하리 1291-4 ,35.173774,128.131766,2018,2
도로방범,문산읍,문산읍 삼곡리 579-22,35.170895,128.172829,2022,2
주정차단속,천전동,칠암동 490-12,35.178925,128.093951,2019,2
주정차단속,천전동,주약동 777-1,35.174587,128.093146,2021,1
주정차단속,천전동,주약동 407-4,35.174377,128.09621,2021,1
주정차단속,중앙동,대안동 5-5,35.195581,128.08372,2019,2
주정차단속,중앙동,장대동 63-5,35.194256,128.088109,2021,2
주정차단속,중앙동,장대동 99-2,35.191524,128.088025,2021,1
주정차단속,중앙동,장대동 100-2,35.191483,128.088297,2019,3
주정차단속,중앙동,평안동 195,35.197294,128.082766,2021,1
주정차단속,상대동,상대동 300-39,35.17962,128.110838,2019,2
주정차단속,상대동,상대동 181-1,35.192352,128.116764,2021,1
주정차단속,상대동,상대동 306-32,35.183625,128.11735,2021,1
주정차단속,하대동,하대동 106-1,35.189119,128.122547,2019,3
주정차단속,하대동,하대동 301-18,35.192886,128.11664,2021,1
주정차단속,상평동,상평동 283-1,35.170635,128.102964,2021,1
주정차단속,평거동,평거동 207,35.173089,128.060103,2021,1
주정차단속,평거동,평거동 1041,35.170519,128.061168,2018,3
주정차단속,신안동,신안동 417-97,35.180458,128.065028,2019,3
어린이보호구역,정촌면,정촌면 관봉리 1150,35.136233,128.143816,2022,3
주정차단속,판문동,평거동 530-51,35.166438,128.054447,2021,1
주정차단속,충무공동,충무공동 286,35.176181,128.145351,2021,1
주정차단속,충무공동,충무공동 231,35.176896,128.148493,2017,1
주정차단속,충무공동,충무공동 13,35.180876,128.138887,2017,4
주정차단속,충무공동,충무공동 37,35.179269,128.139057,2017,1
주정차단속,충무공동,충무공동 33,35.179251,128.140105,2017,4
재난화재,성북동,인사동 181-36,35.189896,128.071846,2015,1
재난화재,중앙동,칠암동 478-1,35.190231,128.091388,2015,1
재난화재,상대동,상대동 296-98,35.178142,128.100628,2015,1
재난화재,상대동,상대동 896-2,35.18047,128.129797,2011,1
재난화재,하대동,하대동 110,35.184431,128.127059,2017,1
재난화재,상평동,상평동 1067-240,35.178622,128.130114,2011,1
재난화재,초장동,초전동 1583-20,35.195251,128.128065,2015,1
재난화재,이현동,이현동 17-3,35.192892,128.065939,2015,1
재난화재,문산읍,문산읍 삼곡리 1311-4,35.164745,128.157695,2015,1
재난화재,문산읍,문산읍 상문리 325-5,35.191323,128.194645,2017,2
재난화재,금곡면,금곡면 두문리 1126-80,35.098584,128.190469,2015,1
재난화재,금곡면,금곡면 정자리 117-4,35.122709,128.187382,2016,1
재난화재,사봉면,사봉면 1380-3,35.182424,128.258229,2016,1
재난화재,금산면,금산면 가방리 1213-14,35.235532,128.148245,2008,3
재난화재,집현면,집현면 장흥리 431-2,35.233438,128.102825,2005,1
재난화재,명석면,명석면 관지리 336-2,35.220824,128.041934,2007,1
재난화재,명석면,명석면 덕곡리 산1,35.276556,128.021785,2017,2
재난화재,수곡면,수곡면 원외리 644-3,35.165442,127.940417,2016,1
재난화재,수곡면,수곡면 원내리 57-32,35.16543,127.959387,2016,1
어린이보호구역,정촌면,정촌면 관봉리 1150,35.136182,128.144561,2022,3
어린이보호구역,정촌면,정촌면 예하리 1294 ,35.124938,128.098454,2019,2
어린이보호구역,정촌면,정촌면 예하리 1294 ,35.125067,128.099444,2019,3
방범,정촌면,정촌면 예하리 1275-5,35.131924,128.100124,2019,2
방범,정촌면,정촌면 화개리 343-17,35.140661,128.101715,2019,3
방범,정촌면,정촌면 화개리 1777-6 ,35.141408,128.098385,2019,3
도로방범,천전동,칠암동 531-1 ,35.181887,128.096464,2019,2
산단관리,정촌면,정촌면 예하리 1241-1,35.127356,128.104957,2019,2
도로방범,성북동,인사동 1-25,35.196753,128.080315,2016,4
산단관리,정촌면,정촌면 예하리 1241-6,35.124351,128.103711,2019,2
산단관리,정촌면,정촌면 예하리 1249-7,35.119276,128.100202,2019,2
산단관리,정촌면,정촌면 예하리 1247-2,35.116944,128.103349,2019,2
도로방범,성북동,중앙동 1-13 ,35.195278,128.08242,2018,3
산단관리,정촌면,정촌면 예하리 1247-1,35.117558,128.102199,2019,2
도로방범,중앙동,옥봉동 879-2 ,35.189122,128.09373,2020,2
도로방범,중앙동,옥봉동 890-9 ,35.186837,128.096392,2020,2
방범,중앙동,장대동 130-2,35.19338,128.087846,2015,1
산단관리,정촌면,정촌면 예하리 1245,35.119605,128.103528,2019,2
산단관리,정촌면,정촌면 예하리 1240-4,35.123133,128.106945,2019,6
산단관리,정촌면,정촌면 예하리 1239-1,35.125267,128.10766,2019,2
산단관리,정촌면,정촌면 예하리 1244-4,35.18105,128.140423,2020,4
도로방범,정촌면,정촌면 화개리 664,35.13464,128.11455,2021,2
도로방범,정촌면,정촌면 관봉리 671,35.11964,128.14099,2021,2
산단관리,정촌면,정촌면 예하리 1367-2,35.116422,128.096727,2020,4
산단관리,정촌면,정촌면 예하리 1372-4,35.115304,128.096965,2020,4
산단관리,정촌면,정촌면 예하리 1406-3,35.113801,128.109278,2020,3
산단관리,정촌면,정촌면 예하리 1401-9,35.113563,128.105137,2020,4
산단관리,정촌면,정촌면 예하리 1406-7,35.112281,128.108087,2020,3
도로방범,하대동,하대동 하대로110,35.193246,128.123695,2021,2
산단관리,정촌면,정촌면 예하리 1407-10,35.112308,128.10545,2020,4
산단관리,정촌면,정촌면 예하리 1393-7,35.11207,128.103974,2020,4
산단관리,정촌면,정촌면 예하리 1393-9,35.112363,128.101665,2020,3
산단관리,정촌면, 정촌면 예하리 1411-3,35.111392,128.105843,2020,4
산단관리,정촌면,정촌면 예하리 1416,35.10934,128.11057,2020,3
산단관리,정촌면,정촌면 예하리 1389-3,35.108955,128.104432,2020,4
스마트폴,정촌면,정촌면 예하리 911-11,35.11352,128.09403,2022,1
스마트폴,정촌면,정촌면 예하리 911-11,35.11261,128.09581,2022,1
도로방범,정촌면,정촌면 예하리 1291-1,35.171104,128.276715,2022,4
도로방범,정촌면,정촌면 소곡리 217-1,35.121855,128.123443,2022,4
공원,정촌면,정촌면 예하리 1319,35.1248,128.100287,2023,3
공원,정촌면,정촌면 예하리 1350,35.1246,128.100777,2023,3
방범,정촌면,정촌면 관봉리 966-13 ,35.124918,128.144266,2023,3
도로방범,초장동,초전동 1047 ,35.199233,128.116451,2019,4
도로방범,초장동,초전동 1085-6,35.21194,128.115599,2019,4
도로방범,평거동,평거동 660-28 ,35.162056,128.038417,2020,2
방범,정촌면,정촌면 화개리 1285 ,35.127776,128.109787,2023,2
방범,중앙동,봉래동 38-158,35.19944,128.085619,2018,2
방범,중앙동,옥봉동 375-25,35.195767,128.09309,2022,4
방범,중앙동,옥봉동 700-1,35.193443,128.092539,2021,2
도로방범,이현동, 이현동 722-2 ,35.211554,128.054883,2015,2
도로방범,이현동,이현동 706-7 ,35.201026,128.055641,2017,1
도로방범,판문동,판문동 1231-1  ,35.186604,128.04661,2020,2
도로방범,판문동,판문동 519 ,35.186464,128.046337,2019,2
방범,중앙동,옥봉동 700-1,35.193168,128.094727,2021,2
방범,중앙동,옥봉동 700-1,35.193322,128.09344,2021,2
방범,중앙동,옥봉동 389,35.195679,128.091355,2022,2
방범,중앙동,대안동 14-8,35.194702,128.08288,2018,4
방범,중앙동,중안동 3-13,35.19443,128.082221,2023,3
방범,중앙동,장대동 130-2,35.193565,128.087523,2015,2
방범,중앙동,장대동 105-6,35.19233,128.086462,2016,4
방범,중앙동,평안동 145,35.196807,128.084155,2016,2
방범,중앙동,수정동 19-5,35.198247,128.085984,2016,2
도로방범,문산읍,문산읍 소문리 430 ,35.176755,128.156384,2013,2
방범,중앙동,옥봉동 835-5,35.192629,128.092769,2016,3
도로방범,문산읍,문산읍 상문리 1024-1 ,35.172518,128.173643,2017,2
도로방범,문산읍,문산읍 옥산리 832-1 ,35.160333,128.149597,2017,2
도로방범,문산읍,문산읍 삼곡리 579-9,35.17089,128.172809,2017,2
도로방범,문산읍,문산읍 두산리 1027 ,35.143013,128.135396,2018,2
도로방범,문산읍,문산읍 이곡리 650 ,35.135453,128.170087,2018,2
도로방범,문산읍,문산읍 갈곡리 213 ,35.142871,128.221589,2019,3
도로방범,문산읍,문산읍 소문리 430 ,35.176755,128.156384,2019,2
방범,중앙동,봉래동 94-16,35.201186,128.083143,2016,3
도로방범,내동면,내동면 유수리 250-2,35.127297,128.027072,2018,2
도로방범,내동면,내평리 23-1(내동면 내평리 산51-5),35.138544,128.024309,2017,3
도로방범,내동면,내동면 신율리 산58-4 ,35.150016,128.085877,2016,3
도로방범,내동면,내동면 신율리 산58-4,35.150016,128.085877,2015,3
방범,중앙동,옥봉동 794-27,35.192396,128.090186,2016,2
도로방범,내동면,내동면 유수리 243-1,35.126357,128.032116,2017,2
도로방범,내동면,내동면 내평리 산52-12 ,35.138544,128.024309,2019,2
도로방범,정촌면,정촌면 예하리 730-1 (정촌18옆),35.119773,128.094181,2018,3
도로방범,정촌면,정촌면 예하리 352-2 (정촌11옆),35.126324,128.109769,2015,3
도로방범,정촌면,정촌면 화개리 1251,35.126448,128.1097,2015,1
도로방범,정촌면,정촌면 소곡리 385 ,35.121301,128.128825,2017,2
도로방범,정촌면,정촌면 예하리 352-2 (정촌08옆),35.116208,128.095961,2018,1
도로방범,정촌면,정촌면 예하리 276-17 ,35.116372,128.096081,2018,1
도로방범,정촌면,정촌면 예하리 730-1 (정촌04옆),35.119773,128.094181,2019,2
도로방범,금곡면,금곡면 가봉리 772-6 ,35.124964,128.216947,2020,2
도로방범,금곡면,금곡면 두문리 산75-3 ,35.090613,128.17917,2020,2
도로방범,금곡면,금곡면 인담리 58-3,35.125428,128.173204,2018,3
도로방범,금곡면,금곡면 인담리 418-3 ,35.123229,128.174861,2017,2
도로방범,진성면,진성면 상촌리 114(진성7옆),35.188982,128.225417,2020,1
도로방범,진성면,진성면 상촌리 54-2 ,35.188771,128.2261,2020,2
도로방범,진성면,진성면 상촌리 69-3,35.190391,128.222762,2018,2
도로방범,진성면,진성면 상촌리 114(진성2옆),35.188982,128.225417,2019,1
도로방범,일반성면,일반성면 남산리 660-1,35.144567,128.272867,2018,2
도로방범,이반성면,이반성면 대천리 1075-1 ,35.137505,128.307991,2020,2
도로방범,이반성면,이반성면 발산리 639-1,35.142134,128.343229,2017,1
